specification,hagibis_mask,target_code,donor_code,weight,positive_weight
mask_2018_06_09_hagibis_recovery,recovery,17,41,0.021680337754569762,True
mask_2018_06_09_hagibis_recovery,recovery,17,42,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,17,44,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,17,45,0.10927784938479919,True
mask_2018_06_09_hagibis_recovery,recovery,17,46,0.18227295531767773,True
mask_2018_06_09_hagibis_recovery,recovery,17,47,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,05,0.34319002532618476,True
mask_2018_06_09_hagibis_recovery,recovery,16,06,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,08,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,09,0.02944243273203182,True
mask_2018_06_09_hagibis_recovery,recovery,16,10,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,11,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,12,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,13,0.0031010714970491045,True
mask_2018_06_09_hagibis_recovery,recovery,16,14,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,18,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,19,0.09279714262858305,True
mask_2018_06_09_hagibis_recovery,recovery,16,21,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,22,0.00033514948339947255,True
mask_2018_06_09_hagibis_recovery,recovery,16,23,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,24,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,25,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,26,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,27,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,28,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,29,0.05267720907754773,True
mask_2018_06_09_hagibis_recovery,recovery,16,30,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,31,0.4303151294571558,True
mask_2018_06_09_hagibis_recovery,recovery,16,32,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,35,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,36,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,37,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,39,0.04814183979804827,True
mask_2018_06_09_hagibis_recovery,recovery,16,40,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,41,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,42,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,44,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,45,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,46,0.0,False
mask_2018_06_09_hagibis_recovery,recovery,16,47,0.0,False
japanese_only_hagibis_recovery,recovery,17,05,0.01801633404118323,True
japanese_only_hagibis_recovery,recovery,17,06,0.13875259540075355,True
japanese_only_hagibis_recovery,recovery,17,08,0.0,False
japanese_only_hagibis_recovery,recovery,17,09,0.0380333804348199,True
japanese_only_hagibis_recovery,recovery,17,10,0.0895548931974157,True
japanese_only_hagibis_recovery,recovery,17,11,0.0,False
japanese_only_hagibis_recovery,recovery,17,12,0.0,False
japanese_only_hagibis_recovery,recovery,17,13,0.05059661416479754,True
japanese_only_hagibis_recovery,recovery,17,14,0.0,False
japanese_only_hagibis_recovery,recovery,17,18,0.0,False
japanese_only_hagibis_recovery,recovery,17,19,0.016974572318310798,True
japanese_only_hagibis_recovery,recovery,17,21,0.15743217495906822,True
japanese_only_hagibis_recovery,recovery,17,22,0.12768129778485024,True
japanese_only_hagibis_recovery,recovery,17,23,0.0,False
japanese_only_hagibis_recovery,recovery,17,24,0.0,False
japanese_only_hagibis_recovery,recovery,17,25,0.0,False
japanese_only_hagibis_recovery,recovery,17,26,0.0,False
japanese_only_hagibis_recovery,recovery,17,27,0.0,False
japanese_only_hagibis_recovery,recovery,17,28,0.0,False
japanese_only_hagibis_recovery,recovery,17,29,0.001899567591504495,True
japanese_only_hagibis_recovery,recovery,17,30,0.0,False
japanese_only_hagibis_recovery,recovery,17,31,0.0,False
japanese_only_hagibis_recovery,recovery,17,32,0.0,False
japanese_only_hagibis_recovery,recovery,17,35,0.09182648810902655,True
japanese_only_hagibis_recovery,recovery,17,36,0.0,False
japanese_only_hagibis_recovery,recovery,17,37,0.06059305055476629,True
japanese_only_hagibis_recovery,recovery,17,39,0.0,False
japanese_only_hagibis_recovery,recovery,17,40,0.0,False
japanese_only_hagibis_recovery,recovery,17,41,0.03471885716488758,True
japanese_only_hagibis_recovery,recovery,17,42,0.0,False
japanese_only_hagibis_recovery,recovery,17,44,0.0,False
japanese_only_hagibis_recovery,recovery,17,45,0.04795733687011974,True
japanese_only_hagibis_recovery,recovery,17,46,0.12596283740849654,True
japanese_only_hagibis_recovery,recovery,17,47,0.0,False
japanese_only_hagibis_recovery,recovery,16,05,0.3122904590529318,True
japanese_only_hagibis_recovery,recovery,16,06,0.0,False
japanese_only_hagibis_recovery,recovery,16,08,0.0,False
japanese_only_hagibis_recovery,recovery,16,09,0.0,False
japanese_only_hagibis_recovery,recovery,16,10,0.0,False
japanese_only_hagibis_recovery,recovery,16,11,0.0,False
japanese_only_hagibis_recovery,recovery,16,12,0.0,False
japanese_only_hagibis_recovery,recovery,16,13,0.0015091911745171666,True
japanese_only_hagibis_recovery,recovery,16,14,0.0,False
japanese_only_hagibis_recovery,recovery,16,18,0.0,False
japanese_only_hagibis_recovery,recovery,16,19,0.11949479977610382,True
japanese_only_hagibis_recovery,recovery,16,21,0.0,False
japanese_only_hagibis_recovery,recovery,16,22,0.0,False
japanese_only_hagibis_recovery,recovery,16,23,0.0,False
japanese_only_hagibis_recovery,recovery,16,24,0.0,False
japanese_only_hagibis_recovery,recovery,16,25,0.0,False
japanese_only_hagibis_recovery,recovery,16,26,0.0,False
japanese_only_hagibis_recovery,recovery,16,27,0.0,False
japanese_only_hagibis_recovery,recovery,16,28,0.0,False
japanese_only_hagibis_recovery,recovery,16,29,0.01021032850628042,True
japanese_only_hagibis_recovery,recovery,16,30,0.0,False
japanese_only_hagibis_recovery,recovery,16,31,0.4749465472035147,True
japanese_only_hagibis_recovery,recovery,16,32,0.0,False
japanese_only_hagibis_recovery,recovery,16,35,0.0,False
japanese_only_hagibis_recovery,recovery,16,36,0.0,False
japanese_only_hagibis_recovery,recovery,16,37,0.0,False
japanese_only_hagibis_recovery,recovery,16,39,0.08119122959903408,True
japanese_only_hagibis_recovery,recovery,16,40,0.0,False
japanese_only_hagibis_recovery,recovery,16,41,0.0,False
japanese_only_hagibis_recovery,recovery,16,42,0.0,False
japanese_only_hagibis_recovery,recovery,16,44,0.0,False
japanese_only_hagibis_recovery,recovery,16,45,0.0,False
japanese_only_hagibis_recovery,recovery,16,46,0.0,False
japanese_only_hagibis_recovery,recovery,16,47,0.0003574446876173869,True
foreign_only_hagibis_recovery,recovery,17,05,0.0,False
foreign_only_hagibis_recovery,recovery,17,06,0.0,False
foreign_only_hagibis_recovery,recovery,17,08,0.0,False
foreign_only_hagibis_recovery,recovery,17,09,0.10338033201564442,True
foreign_only_hagibis_recovery,recovery,17,10,0.2272675560611626,True
foreign_only_hagibis_recovery,recovery,17,11,0.0,False
foreign_only_hagibis_recovery,recovery,17,12,0.0,False
foreign_only_hagibis_recovery,recovery,17,13,0.011222061482768057,True
foreign_only_hagibis_recovery,recovery,17,14,0.0,False
foreign_only_hagibis_recovery,recovery,17,18,0.009739174876852783,True
foreign_only_hagibis_recovery,recovery,17,19,0.0,False
foreign_only_hagibis_recovery,recovery,17,21,0.5360262830511189,True
foreign_only_hagibis_recovery,recovery,17,22,0.0,False
foreign_only_hagibis_recovery,recovery,17,23,0.0,False
foreign_only_hagibis_recovery,recovery,17,24,0.0,False
foreign_only_hagibis_recovery,recovery,17,25,0.0,False
foreign_only_hagibis_recovery,recovery,17,26,0.055391566822496,True
foreign_only_hagibis_recovery,recovery,17,27,0.0,False
foreign_only_hagibis_recovery,recovery,17,28,0.0,False
foreign_only_hagibis_recovery,recovery,17,29,0.048543431104198655,True
foreign_only_hagibis_recovery,recovery,17,30,0.0,False
foreign_only_hagibis_recovery,recovery,17,31,0.0,False
foreign_only_hagibis_recovery,recovery,17,32,0.008429594585758567,True
foreign_only_hagibis_recovery,recovery,17,35,0.0,False
foreign_only_hagibis_recovery,recovery,17,36,0.0,False
foreign_only_hagibis_recovery,recovery,17,37,0.0,False
foreign_only_hagibis_recovery,recovery,17,39,0.0,False
foreign_only_hagibis_recovery,recovery,17,40,0.0,False
foreign_only_hagibis_recovery,recovery,17,41,0.0,False
foreign_only_hagibis_recovery,recovery,17,42,0.0,False
foreign_only_hagibis_recovery,recovery,17,44,0.0,False
foreign_only_hagibis_recovery,recovery,17,45,0.0,False
foreign_only_hagibis_recovery,recovery,17,46,0.0,False
foreign_only_hagibis_recovery,recovery,17,47,0.0,False
foreign_only_hagibis_recovery,recovery,16,05,0.0,False
foreign_only_hagibis_recovery,recovery,16,06,0.0,False
foreign_only_hagibis_recovery,recovery,16,08,0.0,False
foreign_only_hagibis_recovery,recovery,16,09,0.10132656091006258,True
foreign_only_hagibis_recovery,recovery,16,10,0.0,False
foreign_only_hagibis_recovery,recovery,16,11,0.0,False
foreign_only_hagibis_recovery,recovery,16,12,0.0,False
foreign_only_hagibis_recovery,recovery,16,13,0.0014240051966459945,True
foreign_only_hagibis_recovery,recovery,16,14,0.0,False
foreign_only_hagibis_recovery,recovery,16,18,0.0,False
foreign_only_hagibis_recovery,recovery,16,19,0.0,False
foreign_only_hagibis_recovery,recovery,16,21,0.3180847004175404,True
foreign_only_hagibis_recovery,recovery,16,22,0.0,False
foreign_only_hagibis_recovery,recovery,16,23,0.0,False
foreign_only_hagibis_recovery,recovery,16,24,0.0,False
foreign_only_hagibis_recovery,recovery,16,25,0.0,False
foreign_only_hagibis_recovery,recovery,16,26,0.0019581154842412546,True
foreign_only_hagibis_recovery,recovery,16,27,0.0,False
foreign_only_hagibis_recovery,recovery,16,28,0.0,False
foreign_only_hagibis_recovery,recovery,16,29,0.2286114358101887,True
foreign_only_hagibis_recovery,recovery,16,30,0.0,False
foreign_only_hagibis_recovery,recovery,16,31,0.0,False
foreign_only_hagibis_recovery,recovery,16,32,0.18018632880771734,True
foreign_only_hagibis_recovery,recovery,16,35,0.0,False
foreign_only_hagibis_recovery,recovery,16,36,0.16840885337360162,True
foreign_only_hagibis_recovery,recovery,16,37,0.0,False
foreign_only_hagibis_recovery,recovery,16,39,0.0,False
foreign_only_hagibis_recovery,recovery,16,40,0.0,False
foreign_only_hagibis_recovery,recovery,16,41,0.0,False
foreign_only_hagibis_recovery,recovery,16,42,0.0,False
foreign_only_hagibis_recovery,recovery,16,44,0.0,False
foreign_only_hagibis_recovery,recovery,16,45,0.0,False
foreign_only_hagibis_recovery,recovery,16,46,0.0,False
foreign_only_hagibis_recovery,recovery,16,47,0.0,False
